Adduct,m/z,CCS(Å2),Charge,Instrument,Type,Approach,Calibrant,DOI,Update date,ID
[M+Na]+,385.1283,198.5,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS00901291
[M+H]+,353.2323,201.1,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.4155/bio-2017-0245,2021-02-25,AllCCS00901455
[M+Na]+,375.2143,196.7,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.4155/bio-2017-0245,2021-02-25,AllCCS00901455
[M-H]-,351.2177,192.6,-1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.4155/bio-2017-0245,2021-03-24,AllCCS00901455
[M+H]+,120.0556,122.1,1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1007/s00216-016-9820-5,2021-02-25,AllCCS00901549
[M+H]+,214.0993,146.9,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00902036
[M+H]+,311.1133,168.4,1,Waters Vion IMS QTOF,TWIMS,Empirical method,MajorMix,https://doi.org/10.1021/acs.analchem.7b00741,2021-02-25,AllCCS00902786
[M+H]+,311.1133,169.4,1,Modified Waters Synapt G2-Si HDMS,TWIMS,Empirical method,NA,https://doi.org/10.1021/acs.est.0c05713,2021-02-25,AllCCS00902786
[M+H]+,311.1133,170.7,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,PolyAla mix,https://doi.org/10.1021/acs.analchem.5b01831,2021-02-25,AllCCS00902786
[M+H]+,186.0873,138.6,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS00902851
[M+Na]+,208.0693,152.9,1,Waters Synapt G2-Si HDMS,TWIMS,Empirical method,MajorMix,https://doi.org/10.1016/j.aca.2018.09.065,2021-02-27,AllCCS00902851
